timestamp,machine_id,state,power_kw,energy_kwh,load_percent,temperature_c,vibration_mm_s,rpm,production_rate,units_produced
1788967920,CNC_01,RUNNING,26.3,0.251,93.92,48.32,0.16,2400,22.0,0.0061
1788967920,CNC_02,RUNNING,28.59,0.266,95.3,50.44,0.168,2350,23.0,0.0064
1788967920,CNC_03,RUNNING,26.18,0.229,100.69,48.07,0.141,2450,21.0,0.0058
1788967920,COMP_01,RUNNING,58.6,0.448,117.21,73.39,0.414,1450,18.0,0.005
1788967920,PUMP_01,RUNNING,19.55,0.16,108.63,53.62,0.209,1800,12.0,0.0033
1788967920,HVAC_01,RUNNING,35.07,0.313,100.21,24.03,0.04,900,0.0,0.0
1788967920,FURNACE_01,RUNNING,77.51,0.694,99.37,839.8,0.113,1200,16.0,0.0044
1788967980,CNC_01,RUNNING,26.77,0.716,95.62,48.51,0.157,2400,22.0,0.0061
1788967980,CNC_02,RUNNING,30.45,0.766,101.49,51.18,0.163,2350,23.0,0.0064
1788967980,CNC_03,RUNNING,27.71,0.663,106.57,48.68,0.15,2450,21.0,0.0058
1788967980,COMP_01,RUNNING,51.4,1.305,102.8,71.56,0.328,1450,18.0,0.005
1788967980,PUMP_01,RUNNING,17.8,0.461,98.91,52.92,0.201,1800,12.0,0.0033
1788967980,HVAC_01,RUNNING,33.39,0.896,95.4,23.36,0.05,900,0.0,0.0
1788967980,FURNACE_01,RUNNING,77.48,1.994,99.34,839.79,0.113,1200,16.0,0.0044
1788968040,CNC_01,RUNNING,28.7,1.182,102.51,49.28,0.154,2400,22.0,0.0061
1788968040,CNC_02,RUNNING,31.77,1.267,105.91,51.71,0.171,2350,23.0,0.0064
1788968040,CNC_03,RUNNING,27.21,1.098,104.67,48.49,0.147,2450,21.0,0.0058
1788968040,COMP_01,RUNNING,49.54,2.152,99.08,70.82,0.323,1450,18.0,0.005
1788968040,PUMP_01,RUNNING,16.29,0.759,90.48,52.31,0.21,1800,12.0,0.0033
1788968040,HVAC_01,RUNNING,33.61,1.477,96.03,23.44,0.048,900,0.0,0.0
1788968040,FURNACE_01,RUNNING,78.07,3.293,100.09,840.03,0.11,1200,16.0,0.0044
1788968100,CNC_01,RUNNING,29.8,1.651,106.43,49.72,0.161,2400,22.0,0.0061
1788968100,CNC_02,RUNNING,31.0,1.769,103.34,51.4,0.166,2350,23.0,0.0064
1788968100,CNC_03,RUNNING,25.28,1.532,97.24,47.71,0.144,2450,21.0,0.0058
1788968100,COMP_01,RUNNING,55.22,3.003,110.45,72.04,0.415,1450,18.0,0.005
1788968100,PUMP_01,RUNNING,16.8,1.058,93.32,52.52,0.207,1800,12.0,0.0033
1788968100,HVAC_01,RUNNING,35.48,2.06,101.36,24.19,0.043,900,0.0,0.0
1788968100,FURNACE_01,RUNNING,78.57,4.594,100.73,840.23,0.113,1200,16.0,0.0044
1788968160,CNC_01,RUNNING,28.77,2.118,102.74,49.31,0.155,2400,22.0,0.0061
1788968160,CNC_02,RUNNING,29.04,2.268,96.81,50.62,0.166,2350,23.0,0.0064
1788968160,CNC_03,RUNNING,24.2,1.963,93.08,47.28,0.151,2450,21.0,0.0058
1788968160,COMP_01,RUNNING,49.01,3.857,98.02,70.6,0.326,1450,18.0,0.005
1788968160,PUMP_01,RUNNING,18.73,1.358,104.07,53.29,0.204,1800,12.0,0.0033
1788968160,HVAC_01,RUNNING,36.78,2.645,105.08,24.71,0.051,900,0.0,0.0
1788968160,FURNACE_01,RUNNING,78.4,5.894,100.51,840.16,0.112,1200,16.0,0.0044
1788968220,CNC_01,RUNNING,26.83,2.585,95.81,48.53,0.157,2400,22.0,0.0061
1788968220,CNC_02,RUNNING,28.22,2.767,94.06,50.29,0.171,2350,23.0,0.0064
1788968220,CNC_03,RUNNING,25.25,2.395,97.11,47.7,0.145,2450,21.0,0.0058
1788968220,COMP_01,RUNNING,50.97,4.704,101.94,71.39,0.326,1450,18.0,0.005
1788968220,PUMP_01,RUNNING,19.8,1.659,110.0,53.72,0.211,1800,12.0,0.0033
1788968220,HVAC_01,RUNNING,35.97,3.23,102.79,24.39,0.046,900,0.0,0.0
1788968220,FURNACE_01,RUNNING,77.75,7.194,99.68,839.9,0.111,1200,16.0,0.0044
1788968280,CNC_01,RUNNING,26.28,3.05,93.84,48.31,0.16,2400,22.0,0.0061
1788968280,CNC_02,RUNNING,29.5,3.266,98.34,50.8,0.163,2350,23.0,0.0064
1788968280,CNC_03,RUNNING,27.19,2.829,104.56,48.47,0.147,2450,21.0,0.0058
1788968280,COMP_01,RUNNING,58.78,5.558,117.56,73.46,0.415,1450,18.0,0.005
1788968280,PUMP_01,RUNNING,18.74,1.961,104.09,53.29,0.204,1800,12.0,0.0033
1788968280,HVAC_01,RUNNING,34.02,3.813,97.19,23.61,0.046,900,0.0,0.0
1788968280,FURNACE_01,RUNNING,77.4,8.494,99.23,839.76,0.114,1200,16.0,0.0044
1788968340,CNC_01,RUNNING,27.77,3.516,99.17,48.91,0.151,2400,22.0,0.0061
1788968340,CNC_02,RUNNING,31.38,3.766,104.59,51.55,0.168,2350,23.0,0.0064
1788968340,CNC_03,RUNNING,27.72,3.264,106.62,48.69,0.15,2450,21.0,0.0058
1788968340,COMP_01,RUNNING,50.48,6.414,100.96,71.19,0.323,1450,18.0,0.005
1788968340,PUMP_01,RUNNING,16.8,2.26,93.34,52.52,0.207,1800,12.0,0.0033
1788968340,HVAC_01,RUNNING,33.22,4.395,94.92,23.29,0.051,900,0.0,0.0
1788968340,FURNACE_01,RUNNING,77.76,9.793,99.69,839.9,0.111,1200,16.0,0.0044
1788968400,CNC_01,RUNNING,29.53,3.983,105.48,49.61,0.159,2400,22.0,0.0061
1788968400,CNC_02,RUNNING,31.62,4.268,105.4,51.65,0.17,2350,23.0,0.0064
1788968400,CNC_03,RUNNING,26.22,3.698,100.84,48.09,0.141,2450,21.0,0.0058
1788968400,COMP_01,RUNNING,48.61,7.26,97.23,70.45,0.328,1450,18.0,0.005
1788968400,PUMP_01,RUNNING,16.28,2.559,90.47,52.31,0.21,1800,12.0,0.0033
1788968400,HVAC_01,RUNNING,34.53,4.977,98.67,23.81,0.043,900,0.0,0.0
1788968400,FURNACE_01,RUNNING,78.4,11.094,100.52,840.16,0.112,1200,16.0,0.0044
1788968460,CNC_01,RUNNING,29.49,4.451,105.3,49.59,0.159,2400,22.0,0.0061
1788968460,CNC_02,RUNNING,29.95,4.769,99.82,50.98,0.16,2350,23.0,0.0064
1788968460,CNC_03,RUNNING,24.46,4.131,94.07,47.38,0.149,2450,21.0,0.0058
1788968460,COMP_01,RUNNING,55.39,8.111,110.77,72.1,0.414,1450,18.0,0.005
1788968460,PUMP_01,RUNNING,17.8,2.858,98.88,52.92,0.201,1800,12.0,0.0033
1788968460,HVAC_01,RUNNING,36.4,5.561,103.99,24.56,0.048,900,0.0,0.0
1788968460,FURNACE_01,RUNNING,78.57,12.394,100.73,840.23,0.113,1200,16.0,0.0044
1788968520,CNC_01,RUNNING,27.68,4.918,98.85,48.87,0.152,2400,22.0,0.0061
1788968520,CNC_02,RUNNING,28.34,5.268,94.45,50.33,0.17,2350,23.0,0.0064
1788968520,CNC_03,RUNNING,24.52,4.563,94.32,47.41,0.149,2450,21.0,0.0058
1788968520,COMP_01,RUNNING,50.07,8.965,100.14,71.03,0.32,1450,18.0,0.005
1788968520,PUMP_01,RUNNING,19.55,3.159,108.62,53.62,0.209,1800,12.0,0.0033
1788968520,HVAC_01,RUNNING,36.61,6.146,104.59,24.64,0.05,900,0.0,0.0
1788968520,FURNACE_01,RUNNING,78.06,13.694,100.08,840.02,0.11,1200,16.0,0.0044
1788968580,CNC_01,RUNNING,26.25,5.384,93.76,48.3,0.16,2400,22.0,0.0061
1788968580,CNC_02,RUNNING,28.69,5.766,95.65,50.48,0.168,2350,23.0,0.0064
1788968580,CNC_03,RUNNING,26.34,4.996,101.3,48.14,0.142,2450,21.0,0.0058
1788968580,COMP_01,RUNNING,51.67,9.813,103.34,71.67,0.33,1450,18.0,0.005
1788968580,PUMP_01,RUNNING,19.47,3.46,108.15,53.59,0.209,1800,12.0,0.0033
1788968580,HVAC_01,RUNNING,34.92,6.73,99.76,23.97,0.041,900,0.0,0.0
1788968580,FURNACE_01,RUNNING,77.48,14.994,99.33,839.79,0.113,1200,16.0,0.0044
1788968640,CNC_01,RUNNING,26.9,5.849,96.05,48.56,0.157,2400,22.0,0.0061
1788968640,CNC_02,RUNNING,30.6,6.266,102.0,51.24,0.164,2350,23.0,0.0064
1788968640,CNC_03,RUNNING,27.75,5.43,106.74,48.7,0.151,2450,21.0,0.0058
1788968640,COMP_01,RUNNING,58.29,10.668,116.59,73.27,0.412,1450,18.0,0.005
1788968640,PUMP_01,RUNNING,17.65,3.761,98.04,52.86,0.202,1800,12.0,0.0033
1788968640,HVAC_01,RUNNING,33.32,7.312,95.21,23.33,0.05,900,0.0,0.0
