timestamp,grid_status,available_grid_power_kw,factory_demand_kw,grid_import_limit_kw,grid_stress_level,required_reduction_kw,grid_frequency_hz,grid_voltage_v,solar_available_kw,solar_forecast_kw,battery_soc_percent,battery_available_power_kw,electricity_tariff_rs_kwh
1789572360,CRITICAL,215.0,264.78758293121444,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789572420,CRITICAL,215.0,264.90030454893605,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789572480,CRITICAL,215.0,265.1310492183384,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789572540,CRITICAL,215.0,265.206653121501,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789572600,CRITICAL,215.0,265.0376136454663,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789572660,CRITICAL,215.0,264.8240457864874,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789572720,CRITICAL,215.0,264.81877883806374,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789572780,CRITICAL,215.0,265.0280480026983,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789572840,CRITICAL,215.0,265.204112935478,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789573140,CRITICAL,250.0,271.7921184050296,250.0,1.0,0.0,49.75,405.0,15.0,15.0,80.0,20.0,10.5
1789573200,CRITICAL,215.0,264.87323740733655,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789573260,CRITICAL,215.0,265.1044225146206,250.0,1.0,15.0,49.75,405.0,10.0,10.0,80.0,20.0,10.5
1789573500,CRITICAL,250.0,265.13662756574263,250.0,1.0,0.0,49.75,405.0,15.0,15.0,80.0,20.0,10.5
1789573560,CRITICAL,250.0,264.90669878975115,250.0,1.0,0.0,49.75,405.0,15.0,15.0,80.0,20.0,10.5
1789573680,CRITICAL,250.0,265.17680586610305,250.0,1.0,0.0,49.75,405.0,15.0,15.0,80.0,20.0,10.5
